index	rating	review	label
0	4.0	At first I thought you had to connect the headphones before you take them out of the charging pod but that was just my stupidity haha	1.0
1	5.0	I purchased two sets of these	1.0
2	5.0	One for my husband and one for myself to use for teaching online	1.0
3	5.0	The AirPods are clear, the microphone pics up well	1.0
4	5.0	I've used it to help with amplification while doing live video and although it doesn't replace external auto mics it does help amplify my voice enough that people can hear me	1.0
5	5.0	My husband had another microphone/earpiece to use for teaching his online classes and has told me over and over how much better the AirPods are	1.0
6	4.0	I was reluctant to join the bandwagon of Airpod users	0.0
7	4.0	I'm happy I made the switch since my PowerBeats and Revjams both died out	1.0
8	4.0	If you want noise cancelling, go for Revjams Active Pro	0.0
9	4.0	Could literally ride my back down the highway without the sound of cars destroying my music	1.0
10	4.0	However, the Airpods have been absolutely excellent with the ease of connectivity with your bluetooth device, accessing Siri (can customize double-tap function on either airpod to access Siri, skip tracks, pause, etc), and charging	1.0
11	4.0	It seems like 15 minutes of charging them in the case gets them back up to 100%, which probably lasts about 3 hours of play time	1.0
12	4.0	Overall, I'm really glad my wife got me these for my birthday Jan 2020	1.0
13	4.0	Would NOT go back to RevJams or BeatsPowerless	0.0
14	4.0	I’ve wanted the AirPods for months so when I received these as a Christmas gift from my parents I was ecstatic	1.0
15	4.0	It was fairly easy syncing the AirPods to my iPhone 7Plus via Bluetooth	1.0
16	4.0	I tried both pods on right away, the sound quality was surprisingly great and they were pretty comfortable too	1.0
17	4.0	After a few hours (roughly 2) they started to get uncomfortable making my ear itch which then made me realize why I never used the headphones that originally came with the iPhone	0.0
18	4.0	I had no idea Apple also has the AirPod Pros which look more comfortable so if you want comfort I’d highly recommend stop looking at these and head over to the AirPod Pros	1.0
19	4.0	They also don’t allow you to go very far from your phone	0.0
20	4.0	I had my phone sitting on the coffee table in my living room, I walked out front to take out the trash and the music started to get staticky going in and out	0.0
21	4.0	Only plus is being able to charge my phone and still listen to my music	1.0
22	2.0	They worked well for about 15 months but then the left one failed	0.0
23	2.0	I took them to the Apple store and was told they are just outside of warranty and repair would be $70	0.0
24	2.0	Pretty disappointing	0.0
25	2.0	I used them a lot for video conference calls— the ear piece batteries would last for about 3-hours in calls between charges	0.0
26	2.0	Recharged very quickly in the case	1.0
27	2.0	Again, pretty decent but sucks they failed so soon	0.0
28	4.0	Works great with all our Apple devices, nice and seamless connection	1.0
29	4.0	With aftermarket accessories the Airpods work great for just about any occasion	1.0
30	4.0	I love then for work cause I can still hear just fine with my music low if someone needs to talk to me	1.0
31	4.0	Battery in the case needs charging often with normal use which is not a huge deal	1.0
32	4.0	I find myself with dead earphone all to often as the case doesnt stay charged very long between uses	0.0
33	5.0	Sound quality is awesome	1.0
34	5.0	This is my second purchase, I had gotten one for my husband and now I got this one for me	1.0
35	5.0	My husband haves no complaints, me in the other hand, think that the headphones are a little loose sometimes and have to be fixing it so it doesn’t fall from my ear, but it’s not that bad, I love the clarity of my calls and music , it gets charged super fast	1.0
36	5.0	Very happy with my purchase	1.0
37	4.0	I got caught up with the hype/trend of the airpods	1.0
38	4.0	And there are good reason why it is popular	1.0
39	4.0	The first thing is the convenience of quickly and easily pairing with your phone or even computer	1.0
40	4.0	In terms of sound quality, the airpods doesn't sound at all different from the regular apple earpods	0.0
41	4.0	Essentially it is basically bluetooth earpods with the siri assistance built in	1.0
42	4.0	There is hardly any noise cancellation since its not that kind of headphone	0.0
43	4.0	The mic is okay	1.0
44	4.0	I used it once and it sounds muddle when I tried it to record	0.0
45	4.0	One of the biggest plus using airpods is not having to deal with TANGLED WIRES	1.0
46	4.0	The airpods have great battery life and it charges really quick	1.0
47	4.0	I would say using airpods for around 4 hours leaves it around 70-80% on the airpods it self	1.0
48	4.0	Last thing to mention is the price tag, yes it is expensive	0.0
49	4.0	If you're someone who wants no bells or whistle and want a good reliable product, and is okay with the price tag then go with this	1.0
50	4.0	Yes there are other headphones that offer more features and maybe even cheaper price	0.0
51	4.0	However, It is kind of hard to beat something this easy to use and part of the meme	1.0
52	4.0	So it is a great buy	1.0
53	1.0	Checked the serial number on Apple’s website and it says these are legit	1.0
54	1.0	But wonder if I got some counterfeits	0.0
55	1.0	Why do people say these are so good	0.0
56	1.0	The audio quality is horrible compared to the plug in airbuds that you get with your iPhone	0.0
57	1.0	And the voice quality is abysmal	0.0
