	index	rating	review	Label
0	0	5.0	Everyone is posting that there isn’t a difference between these and the 1st gen	0.0
1	1	5.0	This is misleading and inaccurate	0.0
2	2	5.0	Is the improvement drastic, no, but it is still an improvement	1.0
3	3	5.0	The improvement is that Apple has upgraded the on-board chip to the H1, which leads to faster and more stable pairing	1.0
5	5	5.0	It’s been tested and proven to be faster	1.0
7	7	5.0	If you already have the 1st gen, then it’s probably not worth the upgrade	0.0
8	8	5.0	If you are looking to buy your first pair of AirPods, then go for these	1.0
9	9	5.0	These AirPods are amazing they automatically play audio as soon as you put them in your ears and pause when you take them out	1.0
10	10	5.0	A simple double-tap during music listening will skip forward	1.0
11	11	5.0	" To adjust the volume, change the song, make a call, or even get directions, just say ""Hey Siri"" to activate your favorite personal assistant"	1.0
12	12	5.0	Plus, when you're on a call or talking to Siri, an additional accelerometer works with dual beamforming microphones to filter out background noise and ensure that your voice is transmitted with clarity and consistency	1.0
13	13	5.0	Additionally, they deliver five hours of listening time on a single charge, and they're made to keep up with you thanks to a charging case that holds multiple additional charges for more than 24 hours of listening time	1.0
14	14	5.0	Just 15 minutes in the case gives you three hours of listening to time or up to two hours of talk time	1.0
15	15	5.0	I would highly recommend it to anyone looking to buy	1.0
16	16	5.0	These are great but not much better then gen1	1.0
17	17	5.0	Only addition is Siri feature	0.0
18	18	5.0	I will rather buy the previous model on discount and Save some green	0.0
20	20	1.0	every time I opened the charging case (after couple hours - enough time for charging), the left earplug was always at very low battery (0-5%), but the right one is fully charged	0.0
21	21	1.0	So I returned it	0.0
22	22	5.0	My son really wanted airpods but his parents thought that they were a waste of money so I bought them for him behind their back and he loves them	1.0
23	23	5.0	He has wanted them for a while now and these are really good quality	1.0
24	24	5.0	Real things	1.0
25	25	5.0	He wore them all day long	1.0
26	26	5.0	Glad he's thankful	1.0
27	27	5.0	God Bless, Margaret (Michael's mother)	1.0
28	28	5.0	Excellent, pretty useful	1.0
29	29	5.0	easy to use and reliable	1.0
30	30	5.0	At first I had some doubts about it being reliable to my Mac as some Bluetooth speakers sometimes cut off, but these work great and are really comfortable to my ears	1.0
31	31	5.0	Aesthetically, they look great to me	1.0
32	32	5.0	Worth every penny	1.0
33	33	1.0	Poor quality microphone	0.0
34	34	1.0	Not suitable for a remote worker taking calls	0.0
