	rating	review	label
0	4	 I can't stand the type that push into your ear canal so I was happy to read that these would work with android	1
1	4	 You don't get all the features with an android device obviously but that was of little concern to me	1
2	4	 I don't need to tell Siri to turn up the volume or battery life to be displayed on my screen	1
4	4	 First, they are a bit uncomfortable for someone with smaller ears I guess	0
5	4	 The hard plastic rubs on my inner ear with long usage	0
7	4	 I am also have trouble with them cutting out a bit and sometimes going out of sync when I am using them to stream	0
8	4	 It is worse when I put my phone in my pocket	0
14	5	 Of course, the longer I stayed under water, I realized that the audio was cutting out	0
18	5	 Both AirPods survived the water	1
19	5	 I lived happily ever after	1
20	5	Thanks	1
22	1	 I charged it, precautiousely, so I dont overcharge; and it started working again for another whole week	1
23	1	 Then, on the 4th week of buying this crappy thing, both headphones stopped working	0
24	1	 I know it's not because of overcharging because I definitely took precautions	0
25	1	 It was definitely a faulty product being sold to me	0
26	1	 But that wasn't the good part of this ordeal	0
29	1	 So hurray	0
30	1	 I am stuck with a pair of dead broke $144 Apple Airpods purchased on Amazon	0
31	1	 O, Happy me	0
34	5	 I still don't like anything in my ears, but these are really terrific	1
36	5	 Music sounds crystalline; bass is good, not gut shaking like my stereo system, but still fine; trebble is good as well	1
37	5	Now I've put apps for my favorite classical staions on my phone so I can listen to them sitting on my lanai	1
38	5	 I can also listen to my old iPod which has so much of my favorites on it	1
42	5	ƒ? I normally have trouble fitting silicone seal earbuds in my ears, so the fact that these just sit in the outer ear is actually a plus for me	1
43	5	 Connecting them to my Apple devices (watch, iPhone, iPad) was very easy, and almost instant	1
45	5	For an audio device that doesnƒ??t cancel sound, the sound quality is amazing	1
46	5	 They are probably a little better than the stock iPhone wired earbuds, for reference	1
47	5	 Nothing crazy, but Iƒ??m pleased with them	1
48	5	 Since they donƒ??t cancel sound, I can also wear them around the house or out on walks with my dog without the fear that someone will try to get my attention and I wonƒ??t hear them	1
52	1	 And when Iƒ??m on telephone calls, in the event I would like to listen to media or music or watch YouTube while Iƒ??m on a phone call, they will work perfectly the music media or YouTube will turn down and I can hear the person perfectly	1
53	1	 The second person hangs up the AirPods then go back to not working at all thatƒ??s right I said it folks other than the connect disconnect the sound they do not work at all	0
55	1	 Itƒ??s extremely frustrating I have actually had the opportunity to get a second pair sent to me from Amazon and they work just the same	0
56	1	 I canƒ??t find anything online about what to do my iPhone is brand new so I donƒ??t know why my phones doing this but no one can give me a good answer and frankly I donƒ??t want to anymore because I just wasted a bunch of money on and they donƒ??t work for anything	0
57	1	I am so angry itƒ??s not even funny	0
64	1	 I am furious	0
65	1	 And highly disappointed in amazon	0
66	1	 Wish I could give negative stars	0
67	2	These were fantastic and a game changer for me for the first few months	1
68	2	 But the left pod stopped working recently	0
72	2	 First it took a while for the left to connect	0
73	2	 Then it just stopped working no matter what	0
74	2	 Shows up as green, 100% battery but still no sound ever comes out of it	0
75	2	 Otherwise, I'd recommend AirPods to anyone with Apple devices as they are smart, sleek and convenient	1
80	5	 But these AirPods really beat my expectations	1
81	5	 They are light, easily chargeable and have solid sound quality	1
82	5	 I mainly use it for business calls from iPhone, and this is just magic	1
83	5	 Crystal clear quality, like snowflakes in my ears	1
84	5	 I wish I got them earlier	1
85	5	 The only drawback is a bit weird way to check case charge level	0
87	5	 I find this strange, I wish there was easier and more streamlined way to check it	0
88	5	 At any rate, this is a great product and I do recommend it to Apple fans	1
90	4	 Totally worth it	1
91	4	 They fit really well in my ears and have MUCH better sound quality than any other Bluetooth earphones Iƒ??ve used	1
93	4	 My teen says hers used to last several hours but now only last an hour and the one she used more often now has diminished sound quality	0
94	4	 Iƒ??ve also noticed the diminished quality in the left pod that I use more often	0
95	4	 Even diminished, the sound quality is better than other pairs Iƒ??ve had	1
96	4	 Not as good as the wired apple earphones but I prefer the Bluetooth ones for most of my daily activities as I still manage to get myself caught in the wires and inadvertently fling expensive things to the ground more often than Iƒ??d like	1
97	5	Iƒ??m not exactly sure how long Iƒ??ve had these AirPods but itƒ??s been a long time	1
98	5	 If you take care of them they wonƒ??t let you down	1
99	5	 The only problem Iƒ??ve had it sometimes it doesnƒ??t detect that itƒ??s in my ears and I have to take them out and cover the sensors with my fingers to force it	0
100	5	 I havenƒ??t lost any audio in either pod so itƒ??s still going strong	1
101	5	 The audio is clear and relatively good bass	1
102	5	 For some people they can fall out easily but Iƒ??ve gone running and trail biking and it hasnƒ??t fallen out once	1
103	4	At first I was skeptical in buying this off Amazon and thought Iƒ??d be getting a knock off but I can say Iƒ??m definitely impressed	1
104	4	 I decided to buy 2 pairs of these, one for myself and one for my husband for a Fatherƒ??s Day gift	1
106	4	 This has definitely been a game changer for me	1
107	4	 I love that I am able to connect it to my phone, laptop, and car with Bluetooth	1
108	4	 Itƒ??s great that when I want to figure out what my battery percentage is for both the charging case and AirPods, itƒ??ll tell me on my phone just by opening the charging case and the percentage for both will appear on the bottom of my phone screen	1
113	4	 I love that thereƒ??s a feature where if I do have my headphones on, Siri will read my messages to me and you can send a reply as well	1
114	4	 Siri feature is definitely great for when I am in the middle of something	1
115	4	 Battery life, these havenƒ??t lasted me for an entire day	0
116	4	 I also love that when the AirPods are about to die, thereƒ??s a DUN-DUN noise that plays to let you know put me on the chargerrrrr	1
117	4	 Other than that, Iƒ??m satisfied with my purchase and my husband will love the surprise when he receives it	1
119	3	 They're easy to use, sound decent for music, and they work well for phone calls	1
121	3	 I should have guessed these wouldn't fit me properly	0
124	3	Apple really should offer these in more than one size	1
125	3	On battery life, I was on the phone listening to music and/or the news at a reasonable volume for about an hour, then I was on the phone for about two more hours	1
126	3	 Indicated battery charge went down from 100% to only 25%	0
127	3	" Granted, it's a brand new device, so the batteries might not be quite ""broken in"" yet, but I don't find that impressive"	0
128	3	I'd give these a more of a chance and a longer review, but since they simply don't fit right, they don't work for me	0
130	5	Lets face it these AirPods are by Apple so you know that they are excellent quality	1
131	5	 I absolutely LOVE them and after having them for just one day wonder how I managed without them	1
132	5	 For volume control either have Siri adjust the volume or do it manually	1
133	5	PRO I love the fact that if an AirPod happens to fall from your ear the media that you were streaming will be paused until the AirPod is reinserted, very cool	1
134	5	 I also love that once inserted in ears an on screen charge status shows up, also very cool	1
135	5	 I bough a clear silicone case for the AirPods Charging case as 1- Its very small and slick so could easily fall from hands 2- Better protection in event of contact with water (rain)	1
136	5	 For less than 150 USD you have these marvellous EarPods which is a fantastic buy IMO	1
138	5	 No biggie as to check charge status simply take out & reinsert in one ear & onscreen status appears	1
139	5	 Another con is that there is absolutely no noise cancelling ability whatsoever	1
142	5	 I am quite happy with these EarPods and if you don't need the noise cancelling feature, I'm certain you will be too	1
144	1	 Unfortunately we did not return them in time to receive a refund	0
145	1	 The quality is unacceptable and noting like we would expect from aN Apple product that was purchased from Amazon	0
147	1	 The AirPods purchased at Costco were of superior quality and exceeded our expectations	0
148	1	 The AirPods purchased from Amazon I suspect are likely counterfeit	0
154	5	 Great high fidelity sound quality and they are so comfortable, I forget about them	1
155	5	 I walk most days while listening to NPR news radio or Amazon music	1
156	5	 I also watch news and movies on my PC in my room on Apple wired earphones - but I think I'll switch to using the AirPods from now on	1
157	5	 These are perfect for my needs	1
158	5	 And they were offered at a reduced price on Amazon	1
159	5	 Thank you, APPLE	1
160	5	 Thank you, Amazon	1
161	2	Despite my earlier review of these AirPods ; they turned out to be a piece of junk	0
162	2	 I kept having troubles and sent them back into the Apple Repair center	0
165	2	 They worked for about 2 weeks, now I'm having the same issues as before in that one pod displays a low charge and the other at 100%, they drop off completely and I have to start the sound over again on my I-Pod	0
166	2	 I'm really angry and feel like I've been sold a defective product	0
167	2	 So I will have to deal with the repair center again and go thru that merry go round 	0
168	2	 What a real disappointment these things are	0
169	2	 I'm glad I bought a 2 year warranty, but this is really frustrating	0
170	2	These airpods are not any good	0
171	2	 First, they DO NOT hold a charge that long	0
172	2	 The sound quality is terrible, If you have one in and the 2nd one near by, it's constantly switching automatically	0
173	2	 Unable to hear out of both airpods at the same time either talking or listening to music	0
174	2	 While on a call, you have to damn near scream so that the other person can hear you	0
175	2	 I'm not pleased at all with these airpods	0
176	2	 Lastly, one of the airpods just stopped working	0
177	2	 So, this was a bust purchase	0
180	4	After buying more than a few less expensive earbuds, both wired and wireless, I finally found a pair that satisfies my intense need for great audio	1
181	4	 These fit that need	1
186	4	My only issue with these: You donƒ??t want to run or maybe even walk much with these, depending on ear size	1
187	4	 At 6ƒ??1ƒ??, I have bigger ears, I guess, and a quick tilt of my head can make at least one fall out	0
189	4	Bottom line: Great, clear sound	1
190	4	 Frequency range seems evenly balanced - bass, mid-range and high-end all good	1
191	4	Battery life seems good	1
192	4	Worth the price	1
193	2	While initially enamored of my purchase of the Air Pods, I soon discovered that keeping them or one in my ear was uncomfortable	0
194	2	 I can go for the length of a conversation, but more than that and my ear begins to hurt	0
196	2	 Beyond that, the right AirPod has begun to malfunction, cutting out innumerable times during a conversation despite being fully charged	0
197	2	 I have to manually change the mode back to AirPod each time	0
198	2	 I also am not so taken with the inability to answer an incoming call with the AirPod	0
199	2	" You can ""tap"" it off, I guess, after finishing the call, but one must hunt down one's phone and manually accept the call for the AirPods to work"	0
201	2	 Too good, I guess	1
202	2	 I tried another kind; it lasted for about a day	0
203	2	" Why do these things always claim to be ""improvements'"" but just prove to be less than the initial"	0
206	5	 Enter COVID, these are a lifesaver	1
213	1	Case wouldn't charge	0
215	1	 The airpods easily connected to my phone just as expected	1
216	1	 HOWEVER, the case wouldn't charge	0
217	1	 I plugged it in and waited for an hour and it never went past 30%	0
221	1	 Disappointing tho	0
222	4	These (2nd Generation) AirPods are amazing	1
223	4	 They offer hours of fantastic sound and are a great way to listen to music and jump on a call anytime	1
224	4	 The battery life is pretty solid, giving five hours of listen and talk time	1
225	4	 When you place them into the case, they will automatically charge very fast allowing up to 24 hours of listening time without having to plug them in	1
226	4	 The only downside is the terrible noise cancellation	0
227	4	 It does not offer it as a feature in the product however the lack of noise cancellation is very noticeable	0
228	4	 I have also had some issues connecting back to my phone each time but it is very easy to reconnect, so it's not much of a problem	0
