index	rating	review	label
6000	4.0	At first I thought you had to connect the headphones before you take them out of the charging pod but that was just my stupidity haha	1
6001	5.0	I purchased two sets of these	1
6002	5.0	One for my husband and one for myself to use for teaching online	1
6003	5.0	The AirPods are clear, the microphone pics up well	1
6004	5.0	I've used it to help with amplification while doing live video and although it doesn't replace external auto mics it does help amplify my voice enough that people can hear me	1
6005	5.0	My husband had another microphone/earpiece to use for teaching his online classes and has told me over and over how much better the AirPods are	1
6006	4.0	I was reluctant to join the bandwagon of Airpod users	0
6006	4.0	I'm happy I made the switch since my PowerBeats and Revjams both died out	1
6007	4.0	If you want noise cancelling, go for Revjams Active Pro	0
6008	4.0	Could literally ride my back down the highway without the sound of cars destroying my music	1
6009	4.0	However, the Airpods have been absolutely excellent with the ease of connectivity with your bluetooth device, accessing Siri (can customize double-tap function on either airpod to access Siri, skip tracks, pause, etc), and charging	1
6010	4.0	It seems like 15 minutes of charging them in the case gets them back up to 100%, which probably lasts about 3 hours of play time	1
6011	4.0	Overall, I'm really glad my wife got me these for my birthday Jan 2020	1
6012	4.0	Would NOT go back to RevJams or BeatsPowerless	0
6013	4.0	I’ve wanted the AirPods for months so when I received these as a Christmas gift from my parents I was ecstatic	1
6014	4.0	It was fairly easy syncing the AirPods to my iPhone 7Plus via Bluetooth	1
6015	4.0	I tried both pods on right away, the sound quality was surprisingly great and they were pretty comfortable too	1
6016	4.0	After a few hours (roughly 2) they started to get uncomfortable making my ear itch which then made me realize why I never used the headphones that originally came with the iPhone	0
6017	4.0	I had no idea Apple also has the AirPod Pros which look more comfortable so if you want comfort I’d highly recommend stop looking at these and head over to the AirPod Pros	1
6018	4.0	They also don’t allow you to go very far from your phone	0
6019	4.0	I had my phone sitting on the coffee table in my living room, I walked out front to take out the trash and the music started to get staticky going in and out	0
6020	4.0	Only plus is being able to charge my phone and still listen to my music	1
6021	2.0	They worked well for about 15 months but then the left one failed	0
6022	2.0	I took them to the Apple store and was told they are just outside of warranty and repair would be $70	0
6023	2.0	Pretty disappointing	0
6024	2.0	I used them a lot for video conference calls— the ear piece batteries would last for about 3-hours in calls between charges	0
6025	2.0	Recharged very quickly in the case	1
6026	2.0	Again, pretty decent but sucks they failed so soon	0
6027	4.0	Works great with all our Apple devices, nice and seamless connection	1
6030	4.0	With aftermarket accessories the Airpods work great for just about any occasion	1
6031	4.0	I love then for work cause I can still hear just fine with my music low if someone needs to talk to me	1
6032	4.0	Battery in the case needs charging often with normal use which is not a huge deal	1
6032	4.0	I find myself with dead earphone all to often as the case doesnt stay charged very long between uses	0
6033	5.0	Sound quality is awesome	1
6033	5.0	This is my second purchase, I had gotten one for my husband and now I got this one for me	1
6034	5.0	My husband haves no complaints, me in the other hand, think that the headphones are a little loose sometimes and have to be fixing it so it doesn’t fall from my ear, but it’s not that bad, I love the clarity of my calls and music , it gets charged super fast	1
6035	5.0	Very happy with my purchase	1
6036	4.0	I got caught up with the hype/trend of the airpods	1
6037	4.0	And there are good reason why it is popular	1
6038	4.0	The first thing is the convenience of quickly and easily pairing with your phone or even computer	1
6039	4.0	In terms of sound quality, the airpods doesn't sound at all different from the regular apple earpods	0
6040	4.0	Essentially it is basically bluetooth earpods with the siri assistance built in	1
6042	4.0	There is hardly any noise cancellation since its not that kind of headphone	0
6043	4.0	The mic is okay	1
6043	4.0	I used it once and it sounds muddle when I tried it to record	0
6044	4.0	One of the biggest plus using airpods is not having to deal with TANGLED WIRES	1
6045	4.0	The airpods have great battery life and it charges really quick	1
6046	4.0	I would say using airpods for around 4 hours leaves it around 70-80% on the airpods it self	1
6047	4.0	Last thing to mention is the price tag, yes it is expensive	0
6047	4.0	If you're someone who wants no bells or whistle and want a good reliable product, and is okay with the price tag then go with this	1
6048	4.0	Yes there are other headphones that offer more features and maybe even cheaper price	0
6049	4.0	However, It is kind of hard to beat something this easy to use and part of the meme	1
6050	4.0	So it is a great buy	1
6051	1.0	Checked the serial number on Apple’s website and it says these are legit	1
6052	1.0	But wonder if I got some counterfeits	0
6053	1.0	Why do people say these are so good	0
6054	1.0	The audio quality is horrible compared to the plug in airbuds that you get with your iPhone	0
6055	1.0	And the voice quality is abysmal	0
6056	1.0	I got these specifically for Zoom and Teams calls on my Mac book and people say they can barely hear me	0
6057	1.0	I make calls from my iPhone XS with these and the same issue	0
6058	1.0	I got on sale for $130 but that is till to much for these useless headphones	0
6059	1.0	Going back to the free plug in ear buds	0
6060	1.0	Also, they say 5 hours of battery life	0
6061	1.0	But if you use for talk you only get 2 hours	0
6062	1.0	I am in meetings all day	0
6064	5.0	This model of Airpods is the easiest to use	1
