,rating,single_review
0,5.0,Everyone is posting that there isn’t a difference between these and the 1st gen
1,5.0, This is misleading and inaccurate
2,5.0," Is the improvement drastic, no, but it is still an improvement"
3,5.0," The improvement is that Apple has upgraded the on-board chip to the H1, which leads to faster and more stable pairing"
4,5.0, This isn’t anecdotal
5,5.0, It’s been tested and proven to be faster
6,5.0,"Also, if you opt for wireless charging, buy the case with the gen 2 AirPods and you’ll save a few dollars"
7,5.0,"If you already have the 1st gen, then it’s probably not worth the upgrade"
8,5.0," If you are looking to buy your first pair of AirPods, then go for these"
9,5.0,These AirPods are amazing they automatically play audio as soon as you put them in your ears and pause when you take them out
10,5.0, A simple double-tap during music listening will skip forward
11,5.0," To adjust the volume, change the song, make a call, or even get directions, just say ""Hey Siri"" to activate your favorite personal assistant"
12,5.0," Plus, when you're on a call or talking to Siri, an additional accelerometer works with dual beamforming microphones to filter out background noise and ensure that your voice is transmitted with clarity and consistency"
13,5.0,"Additionally, they deliver five hours of listening time on a single charge, and they're made to keep up with you thanks to a charging case that holds multiple additional charges for more than 24 hours of listening time"
14,5.0, Just 15 minutes in the case gives you three hours of listening to time or up to two hours of talk time
15,5.0,I would highly recommend it to anyone looking to buy
16,5.0,These are great but not much better then gen1
17,5.0, Only addition is Siri feature
18,5.0, I will rather buy the previous model on discount and Save some green
19,1.0,I had the AirPods for only a few days
20,1.0," every time I opened the charging case (after couple hours - enough time for charging), the left earplug was always at very low battery (0-5%), but the right one is fully charged"
21,1.0, So I returned it
22,5.0,My son really wanted airpods but his parents thought that they were a waste of money so I bought them for him behind their back and he loves them
23,5.0, He has wanted them for a while now and these are really good quality
24,5.0, Real things
25,5.0, He wore them all day long
26,5.0, Glad he's thankful
27,5.0," God Bless, Margaret (Michael's mother)"
28,5.0,"Excellent, pretty useful"
29,5.0, easy to use and reliable
30,5.0," At first I had some doubts about it being reliable to my Mac as some Bluetooth speakers sometimes cut off, but these work great and are really comfortable to my ears"
31,5.0," Aesthetically, they look great to me"
32,5.0,Worth every penny
33,1.0,Poor quality microphone
34,1.0, Not suitable for a remote worker taking calls
35,1.0," If your job requires dictation or a high quality mic, go elsewhere"
36,4.0,Got it for my wife’s birthday
37,4.0," Since XS doesn’t have the old headphone plugs, AirPods work perfectly"
38,4.0, More importantly she loves it
39,4.0, Sound effect is pretty good too
40,1.0,We bought a brand new set of AirPods for $159
41,1.0," After using them for a week, I was listening to them and the right air pod went dead"
42,1.0," I figured, maybe I just need to charge them"
43,1.0," So when I got home I charged them, and the next day I went to use them again and the right air bud was still dead"
44,1.0," So I did some research, tried to reset them, and then I couldn't reconnect them to my phone at all"
45,1.0,"Once I contacted Apple, they tried to give us the run around"
46,1.0," They wanted us to let them fully die, which makes sense, so we did that"
47,1.0," Then, when they still didn't work we wanted to exchange the faulty pair for a new set (BECAUSE WE PAID 159 DOLLARS AND ONLY USED THEM FOR A WEEK)"
48,1.0," Keep in mind, they were taken care of, not dropped, no water damage, they were expensive so they were treated delicately"
49,1.0," Apple wanted a $180 deposit to get a new set, which is MORE THAN WHAT I ORIGINALLY PAID FOR"
50,1.0,"I decided to contact Amazon, and they suggested contacting Apple, but once I explained what was going, on Amazon offered to make things right and send out a replacement"
51,1.0," Never had an issue with Amazon's customer service, but Apple was extremely disappointing"
52,1.0, I won't purchase these again
53,5.0,They are amazing
54,5.0, It's as simple as just opening the case and you're in
55,5.0, Sound quality isn't the best for headphones at this same price but the convenience is where you will be satisfied
56,1.0,Apple air
57,5.0,Can't get enough of these
58,5.0, The sound is improved compared to the regular apple headphones
59,1.0,right pod suddenly stopped working less than a week of purchasing and as well as case connectivity issues
60,1.0," i did not drop it or water damage it, seems to be a manufacturing defect"
61,1.0," Apple is replacing it for me, but it will take a week"
62,1.0,Do not buy
63,1.0, When they arrived they were in a box with not bubble wrap or anything
64,1.0, They connected to my phone for a few minutes and never connected again
65,1.0, Do not waist your money
66,5.0,Many customers are complaining that this is not the latest model
67,5.0, This is false
68,5.0, Apple released two configurations with the second generation AirPods
69,5.0, The first configuration is $160 and comes with the new H1 chip AirPods and a standard case (no LED on exterior)
70,5.0, The second is $200 and comes with the wireless case
71,5.0," This product page is for the new gen2 AirPods with standard case, hence $160"
72,5.0, You can check the serial number on Apple’s website and it will tell you that this is the latest model
73,1.0,THIS IS NOT THE LATEST MODEL
74,1.0, DO NOT BUY THESE IF YOU WANT AIRPODS 2
75,1.0," Also, mine did not work"
76,1.0, They never paired and I feel like Amazon is scamming people by selling these as if they were in fact the latest model
77,1.0,Edit: The second pair just came in and they are absolutely disgusting
78,1.0," If anyone at Amazon looked at these and thought it was okay to ship the product in this condition, I would be surprised"
79,1.0, Please look at the pictures I attached
80,1.0, I have never been so displeased at a product/company
81,1.0," There's earwax on the headphones, dust and dirt all over the insides, and so on"
82,1.0, I reiterate - do NOT buy this product
83,1.0,This is not the wireless charging model this is not even the (latest version) I bought these thinking they where the newest version 2 AirPods with charging case this is not the case
84,5.0,"Al parecer lo que pasa es que el título del producto esta mal traducido al español e incluye la frase ""funda de carga inalámbrica"" lo cual no es correcto, ya que al comprarlo es la funda normal que solo tiene carga con cable"
85,5.0,"Esto se puede comprobar cambiando el idioma de amazon a Ingles y notando que el título del producto cambia y ya no incluye el ""Wireless charging"" que deberia de tener"
86,5.0,Lo dejo como un comentario que espero retroalimente y aclare a las personas que piensan comprarlos y ojala que amazon y apple corrijan este error de traducción
87,1.0,"Did not work , very unimpressed with how they didn’t work the left headphone did not work at all , i didn’t drop them or anything straight out of the box and they weren’t working"
88,4.0,"Taking the Apple AirPods at face value, they're a solid headset for the money"
89,4.0," If you already have the original, first generation AirPods and just want to upgrade, not a bad option either"
90,4.0, The 2nd generation AirPods feature an improved software chip & runs off of BlueTooth 5
91,4.0,0 vs 4
92,4.0,1 (Gen 1)
