,name reviewer,review title,rating,review_body
0,Cam S.,Improved Over 1st Gen (regardless of what some here are saying),5.0,"Everyone is posting that there isn’t a difference between these and the 1st gen. This is misleading and inaccurate. Is the improvement drastic, no, but it is still an improvement. The improvement is that Apple has upgraded the on-board chip to the H1, which leads to faster and more stable pairing. This isn’t anecdotal. It’s been tested and proven to be faster.

Also, if you opt for wireless charging, buy the case with the gen 2 AirPods and you’ll save a few dollars.

If you already have the 1st gen, then it’s probably not worth the upgrade. If you are looking to buy your first pair of AirPods, then go for these."
1,Kevin scot,"Authentic and Beautiful, Love these way more than ever expected",5.0,"These AirPods are amazing they automatically play audio as soon as you put them in your ears and pause when you take them out. A simple double-tap during music listening will skip forward. To adjust the volume, change the song, make a call, or even get directions, just say ""Hey Siri"" to activate your favorite personal assistant. Plus, when you're on a call or talking to Siri, an additional accelerometer works with dual beamforming microphones to filter out background noise and ensure that your voice is transmitted with clarity and consistency.
Additionally, they deliver five hours of listening time on a single charge, and they're made to keep up with you thanks to a charging case that holds multiple additional charges for more than 24 hours of listening time. Just 15 minutes in the case gives you three hours of listening to time or up to two hours of talk time.
I would highly recommend it to anyone looking to buy"
2,Atlas Heart,Don’t buy these!!,5.0,These are great but not much better then gen1. Only addition is Siri feature. I will rather buy the previous model on discount and Save some green.
3,Chih Y.,Defective...,1.0,"I had the AirPods for only a few days.. every time I opened the charging case (after couple hours - enough time for charging), the left earplug was always at very low battery (0-5%), but the right one is fully charged. So I returned it."
4,margaret,MY SON LOVES THEM!!,5.0,"My son really wanted airpods but his parents thought that they were a waste of money so I bought them for him behind their back and he loves them!! He has wanted them for a while now and these are really good quality!! Real things!! He wore them all day long!! Glad he's thankful!! God Bless, Margaret (Michael's mother)"
5,Ivan,Worth every penny,5.0,"Excellent, pretty useful... easy to use and reliable. At first I had some doubts about it being reliable to my Mac as some Bluetooth speakers sometimes cut off, but these work great and are really comfortable to my ears. Aesthetically, they look great to me.

Worth every penny."
6,Dan Medina,Poor quality microphone,1.0,"Poor quality microphone. Not suitable for a remote worker taking calls. If your job requires dictation or a high quality mic, go elsewhere"
7,Amazon Customer,Great headphone,4.0,"Got it for my wife’s birthday. Since XS doesn’t have the old headphone plugs, AirPods work perfectly. More importantly she loves it. Sound effect is pretty good too."
8,Emily,"Stopped working after a week, Apple gave us a hard time about exchanging them",1.0,"We bought a brand new set of AirPods for $159. After using them for a week, I was listening to them and the right air pod went dead. I figured, maybe I just need to charge them. So when I got home I charged them, and the next day I went to use them again and the right air bud was still dead. So I did some research, tried to reset them, and then I couldn't reconnect them to my phone at all.

Once I contacted Apple, they tried to give us the run around. They wanted us to let them fully die, which makes sense, so we did that. Then, when they still didn't work we wanted to exchange the faulty pair for a new set (BECAUSE WE PAID 159 DOLLARS AND ONLY USED THEM FOR A WEEK). Keep in mind, they were taken care of, not dropped, no water damage, they were expensive so they were treated delicately. Apple wanted a $180 deposit to get a new set, which is MORE THAN WHAT I ORIGINALLY PAID FOR.

I decided to contact Amazon, and they suggested contacting Apple, but once I explained what was going, on Amazon offered to make things right and send out a replacement. Never had an issue with Amazon's customer service, but Apple was extremely disappointing. I won't purchase these again."
9,Arnab Sahoo,Great Headphones,5.0,They are amazing. It's as simple as just opening the case and you're in. Sound quality isn't the best for headphones at this same price but the convenience is where you will be satisfied.
10,Eleonora Gillion,Apple,1.0,Apple air
11,Nina Sedrakian,I absolutely love my new AirPods!,5.0,Can't get enough of these. The sound is improved compared to the regular apple headphones.
12,Amazon Customer,right pod stopped working less than week of purchasing,1.0,"right pod suddenly stopped working less than a week of purchasing and as well as case connectivity issues. i did not drop it or water damage it, seems to be a manufacturing defect. Apple is replacing it for me, but it will take a week..."
13,Nolan stoll,Don’t buy!,1.0,Do not buy! When they arrived they were in a box with not bubble wrap or anything. They connected to my phone for a few minutes and never connected again. Do not waist your money!!
14,Chris,This IS the latest model!!,5.0,"Many customers are complaining that this is not the latest model. This is false. Apple released two configurations with the second generation AirPods. The first configuration is $160 and comes with the new H1 chip AirPods and a standard case (no LED on exterior). The second is $200 and comes with the wireless case. This product page is for the new gen2 AirPods with standard case, hence $160. You can check the serial number on Apple’s website and it will tell you that this is the latest model."
15,Rodrigo,NOT THE LATEST MODEL - Disgusting product. Spend your money somewhere else!,1.0,"THIS IS NOT THE LATEST MODEL. DO NOT BUY THESE IF YOU WANT AIRPODS 2. Also, mine did not work. They never paired and I feel like Amazon is scamming people by selling these as if they were in fact the latest model.

Edit: The second pair just came in and they are absolutely disgusting. If anyone at Amazon looked at these and thought it was okay to ship the product in this condition, I would be surprised. Please look at the pictures I attached. I have never been so displeased at a product/company. There's earwax on the headphones, dust and dirt all over the insides, and so on. I reiterate - do NOT buy this product."
16,Dana E. Dial,Not latest model,1.0,This is not the wireless charging model this is not even the (latest version) I bought these thinking they where the newest version 2 AirPods with charging case this is not the case
17,Byron Corrales Rivas,"Todo bien con el producto , pero no tiene funda con carga inalámbrica",5.0,"Al parecer lo que pasa es que el título del producto esta mal traducido al español e incluye la frase ""funda de carga inalámbrica"" lo cual no es correcto, ya que al comprarlo es la funda normal que solo tiene carga con cable.

Esto se puede comprobar cambiando el idioma de amazon a Ingles y notando que el título del producto cambia y ya no incluye el ""Wireless charging"" que deberia de tener.

Lo dejo como un comentario que espero retroalimente y aclare a las personas que piensan comprarlos y ojala que amazon y apple corrijan este error de traducción."
18,Eva g,My left headphone did not work,1.0,"Did not work , very unimpressed with how they didn’t work the left headphone did not work at all , i didn’t drop them or anything straight out of the box and they weren’t working"
19,James M.,100% honest review,4.0,"Taking the Apple AirPods at face value, they're a solid headset for the money! If you already have the original, first generation AirPods and just want to upgrade, not a bad option either. The 2nd generation AirPods feature an improved software chip & runs off of BlueTooth 5.0 vs 4.1 (Gen 1). The software chip allows a faster, stronger, and more stable connection with your device(s). This particular item for $139.00 does NOT feature the wireless charging case. This one must be plugged in via USB (cable provided in the box) to an outlet or USB port. The wireless charging case model is $169. Now if you're looking to upgrade to the wireless charging case later on, you can. Apple does sell it separately. If you want the wireless charging option right out of the box, I recommend sending the $169 vs the $139 product here.

Sound quality: Straight out of the box, sound is pretty solid. No crackles, static, pops, or any abnormal noises created by the more economic-friendly headsets. You have a lot more adjustability & tuning capabilities if paired on an iOS/Apple device vs using for example paired with an Android OS device. So, ultimately Apple users may or may not get a better sound quality experience.

Noise cancellation: AirPods do fit fairly well in the ear without having to be jammed inside your ear canal. Generally they create a snug fit using Apple's ""universal"" earphone design, it is one size fits most not one size fits all. Some users have upgraded or opted to spend the additional funds on a set of AirPods Pro due to the rubber tips for a better/snug fit. I believe only the AirPods Pro currently has an active noise cancellation utilizing two microphones but I would double-check Apple for accurate information. Also, for Android users. The Galaxy buds by Samsung feature active noise cancellation & wireless charging case on every model so you might want to look into that product before making a final purchase.

Battery life: For optimal battery life, I highly recommend charging both AirPods inside the case. The case itself is a battery pack with a life. So if one or both AirPods are low on battery, you can toss them in the case and charge them up. Apple I believe rates 5 minutes of charging time is equivalent to 1 hour of talk/listening time and 15 minutes of charging time is equivalent to 2 hours of talk/listening. I'm sure this is accurate when they're brand new but I'm sure like anything, normal ware & tare might diminish that over time.

Warranty: Apple provides a 1-year standard manufacturer's warranty on this product. This ONLY covers defects/defaults from the manufacturer. This will NOT cover physical and/or liquid damages to AirPods, case, or charging cable included.

AppleCare: It's $29.00 and 2 years and well worth the extra money. You're already spending this kind of money on a headset, may as well have protection. We get it, accidents happen! But protect yourself and get your AirPods repaired/replaced at no additional cost to YOU! There is no additional fees or deductibles involved.

AppleCare tips:
You don't have to install AppleCare right away. You have 60 days from the original purchase date to contact Apple by providing your AirPods serial number (on outside of the box) and Apple will tell you if you're still eligible.

You can renew AppleCare for another 2 years for the same fee of $29.00 provided you want to keep the same product. If you decide to upgrade to the AirPods Pro or whatever the latest model is, you would have to purchase AppleCare for that specific product.

You can go into an Apple store location and get live repair/replacement on your AirPods.

Using AirPods with Android:

Apple has allowed Android and other non-iOS devices to use AirPods since the AirPods pair/connect via BlueTooth.

If you're using AirPods on an Android platform such as Samsung or LG for example there's 2 ways to pair the headset to your device. You either turn on BlueTooth on your device, pop both AirPods inside your ear, find ""AirPods"" under available connections, and connect. Or you might have to pair manually using the button on the AirPods case to make available, pair, and connect.

FAIR WARNING:

You will NOT have access to all features that the AirPods have to offer on an Apple/iOS device. You will be limited on functions you can perform.

I was able to find an app on Google play store for $1.99 called ""AirPopUp"". It is a paid application that unlock access to certain/more features of the AirPods similar to what an Apple/iOS device would be granted. Be aware that you will NOT have access nor the ability to have every single feature since you're not on Apple's network. There may be other apps (most likely paid applications) you'd have to find that may unlock more features such as: AirPods battery life percentage, case battery life percentage, programming LEFT & RIGHT AirPods for certain function(s), skipping/pausing/resetting songs, answer/decline/hang up phone calls, find my AirPods, and more.

For Samsung users specifically, you might want to look into the Galaxy Buds. They're a little cheaper than AirPods, I believe Amazon has them for $109.99 + $22 3-Year insurance through Assurion that does cover physical/liquid/accidental damage just like AirPods.

Galaxy Buds features:
Made by Samsung
Audio powered by AKG
Rubber ear bud tips
Pair with Samsung device to get the most
Wireless charging case
Active noise cancellation
Comes in multiple colors (black/white/silver/yellow/red & black combo with Star Wars edition Galaxy Note 10+)
Includes changing cord and replacement rubber earbud tips.

I know if you pair the Galaxy Buds with a Samsung device it will automatically download an application titled ""Galaxy Wearable"". This allows users to check battery life status of the case and each bud, prompts you for software updates, ability to program LEFT & RIGHT earbuds to do certain function(s), answer/decline/hang up phone calls, pause/skip/reset songs.

Apple may charge a lot of money for their products on accessories but they never fall short of being a revolutionary, well-designed, reliable product that works as advertised."
